cons,pros,summary,advice-to-mgmt,overall-ratings,work-balance-stars,culture-values-stars,carrer-opportunities-stars,comp-benefit-stars,senior-mangemnet-stars,company
3.666666667,3.363888889,3.866666667,3.933333333,4,4,5,2,5,4,amazon
3.416,3.713333333,2.466666667,3,3,2,2,2,3,1,amazon
3.475,4.233333333,3.4,3.355681818,3,1,3,2,5,2,amazon
3.65,5,4.6,3,5,5,5,5,5,5,amazon
3.4,3.6,3,3,5,5,5,5,5,5,amazon
2.84,3.033333333,3,4.4,2,2,1,2,2,1,amazon
3.4,3,3,3,4,3,3,3,3,3,amazon
3.633333333,3,3,4.5,4,3,3,4,4,3,amazon
3.111111111,3.66,3,3,4,2,4,5,4,4,amazon
3.4,3.333333333,2.533333333,3,3,1,2,5,5,3,amazon
5,2.5,3,3.266666667,3,1,3,2,4,3,amazon
2.333333333,4.375,3,3,3,3,4,3,4,3,amazon
2.3,3.1,3,3,3,1,2,2,2,2,amazon
2.8,3.679166667,3,3,5,5,5,5,5,5,amazon
3,3.95,3,4.166666667,1,3,1,1,2,4,amazon
3.7,4.051996152,4.4,3,4,4,3,4,5,5,amazon
2.208333333,4,3,3,4,3,4,4,3,2,amazon
3,3,3,3,4,4,4,4,4,4,amazon
3.095,3,3,3,3,4,4,4,3,1,amazon
4,4.6,2.8,2.2,3,3,4,2,3,2,amazon
2.8,4.3,3,4.1,5,2,none,4,2,none,amazon
2.5,3,5,3,5,3,5,5,4,4,amazon
2.933333333,3,3,3,5,3,5,5,5,1,amazon
2.7625,3.85,3,3,1,1,1,1,3,1,amazon
2.75,4.016666667,3,3,5,4,5,5,3,4,amazon
2.629166667,3.906666667,3,2.916666667,2,3,1,1,4,1,amazon
3.26,3.725714286,3.125,3,4,2,4,5,5,4,amazon
2,4.6,3.2,2.8125,3,2,3,3,5,3,amazon
2.55,4.2,3.8,4,3,2,2,1,1,1,amazon
2.725,3.496666667,3,3.283333333,3,2,3,3,3,3,amazon
3.013333333,3.65,3,3.75,5,4,5,5,4,4,amazon
2.8625,3.986666667,3,3,5,none,none,none,none,none,amazon
3.26,4,3,3,2,2,1,2,5,1,amazon
2.84,3.333333333,3,2.8,1,1,1,1,1,1,amazon
3,3.033333333,4,3.52,4,4,4,4,4,4,amazon
3.068333333,4.6,3,3,4,2,3,3,4,3,amazon
3.129603175,3.533333333,3,3.875,4,3,5,5,3,5,amazon
3.425,4.4,3,3,4,5,5,5,3,3,amazon
1.9,3.2375,3,3.5,3,1,1,1,3,2,amazon
4.4,3,3,3,5,none,none,none,none,none,amazon
3.2,3.8,3,3,4,4,4,4,2,4,amazon
2.9675,3.58459596,3,4.4,5,3,5,5,5,5,amazon
3.26,4,3,3,2,2,1,2,5,1,amazon
2.666666667,3.45,3,3,4,none,none,none,none,none,amazon
2.782291667,3,3.7,4,4,4,5,5,4,5,amazon
2.544444444,3.75,4.075,3,3,4,2,3,5,2,amazon
4,3.476190476,3.866666667,3,4,2,3,5,5,3,amazon
2.706666667,3.5,1.8,3.725,1,1,1,1,1,1,amazon
3.057142857,4,2.785714286,3.9,4,3,4,4,5,none,amazon
2.288888889,3.322222222,3,3,4,4,4,4,4,4,amazon
3.16,4.4,3,3,3,1,2,4,none,none,amazon
2.64,3.250162338,3,3.478571429,2,1,1,1,1,1,amazon
3.6,2.844444444,3.6,3,1,1,1,1,1,1,amazon
3.3,4.6,3,3,5,none,none,none,none,none,amazon
2.9,3.34,4,3.866666667,4,1,5,3,4,3,amazon
3.433333333,3.95,3,3,4,none,none,none,none,none,amazon
3.2,3.866666667,3,3.95,4,4,5,5,4,4,amazon
2.825,3.6,4.6,3,5,4,5,5,5,5,amazon
3.647619048,3.296484375,2.2,3.55,5,3,4,4,4,4,amazon
3,3.636363636,3,3,5,2,4,5,5,3,amazon
3,3.866666667,3,3,5,4,4,5,3,4,amazon
2.76,3.32,3,3,5,3,5,5,5,4,amazon
3.333333333,4.61,3,3,5,5,5,5,5,5,amazon
3,4.6,4.2,3,5,2,5,5,4,5,amazon
2.3,3.566666667,4.6,3.75,5,3,5,4,3,2,amazon
3,3,3.4,3,4,none,none,4,4,none,amazon
3.255555556,3.433333333,3,4,4,1,5,4,3,5,amazon
3,4.4,3,1.6,4,5,4,2,5,2,amazon
3.125,3.966666667,3,3,4,4,4,4,4,3,amazon
3.2,3.866666667,3.866666667,3.2,4,4,2,3,3,1,amazon
3.15,3,3,3,4,5,3,5,5,3,amazon
3,3,4.4,4,4,2,2,4,4,1,amazon
2.911111111,3.183333333,3,3.305230456,2,1,3,1,2,none,amazon
3.158,2.938888889,4.6,3,3,3,3,2,3,4,amazon
2.706666667,4.6,3,4.7,1,1,1,1,1,1,amazon
3,4.4,1.6,4,4,1,5,5,5,3,amazon
3,2.968333333,3.008333333,3,5,3,5,4,5,3,amazon
2.3,4.55,4.6,3,5,4,4,5,4,4,amazon
1.6,3,3,3,1,none,none,none,none,none,amazon
2.9,1.6,3,3,1,none,none,none,none,none,amazon
3.2,3.8,4,3,5,5,none,5,none,none,amazon
3.127777778,3.440380952,3,3.128,4,2,5,3,4,4,amazon
3,3,3,3.5,4,3,3,3,3,3,amazon
1.666666667,3.366666667,3.4,3,4,3,5,4,3,3,amazon
2.95,3.283333333,3.52,4.3,3,1,1,4,4,3,amazon
2.733333333,4.118181818,3,3.45,3,2,3,3,3,3,amazon
3.075,3.508666667,3,3.637333333,5,5,5,5,5,5,amazon
3,3,4.6,3,5,4,4,5,3,3,amazon
3.8,2.9,3.1,3.313131313,2,none,none,none,none,none,amazon
2.5,3.375,3,3,1,1,2,3,1,2,amazon
2.971111111,3.633333333,3,3.304761905,1,2,1,2,2,1,amazon
3.4,4.066666667,4.6,3,5,5,5,4,4,5,amazon
3.077777778,4.6,3.966666667,3,3,3,1,2,4,1,amazon
3,4.066666667,3.333333333,3,3,none,none,none,none,none,amazon
3.428571429,4.5,3.333333333,3.5,3,2,5,4,5,4,amazon
2,3.125,3,2,4,none,none,none,none,none,amazon
3.2,3.55,3,3,5,3,4,5,4,4,amazon
3,4.6,3,3,5,3,3,4,4,5,amazon
3.272727273,3,3,3,2,none,none,none,none,none,amazon
3.26952381,3.7,3,3,1,2,1,3,2,2,amazon
3,4.1,3,3,4,4,4,4,4,4,amazon
3.4,3.390909091,3,3,4,3,3,5,5,4,amazon
3.136363636,3.327272727,3,3,3,none,none,none,none,none,amazon
2.641666667,3.333333333,3,3,3,2,1,2,3,1,amazon
3.666666667,4.4,3.633333333,3.454545455,4,4,3,3,4,4,amazon
2.2,3,3,5,4,5,3,5,3,5,amazon
2.513333333,3.808333333,3,3,5,5,5,3,4,4,amazon
2.5,3.6,4.2,3,5,5,5,4,4,4,amazon
3,4.4,3,4.4,5,1,5,3,5,3,amazon
3.093333333,2.833333333,3,3,1,1,1,3,3,1,amazon
3.4,4.4,3,3,1,1,1,4,4,1,amazon
2.285714286,3.538888889,3,2.916666667,2,1,3,2,4,none,amazon
3.3,3.8,3,4,4,3,4,4,4,5,amazon
3.542857143,3.904,3,3,4,3,3,4,3,4,amazon
3.2,3.566666667,3,2.935606061,4,5,5,4,4,4,amazon
3.139835165,4.014285714,3,2.963690476,1,1,1,1,3,1,amazon
3,3,3,3,5,5,5,5,5,5,amazon
3,3,3.066666667,3.011111111,2,1,3,1,2,2,amazon
3.04,3,3,3,4,3,none,2,2,none,amazon
2.43,3,3.508333333,4.4,3,none,none,none,none,none,amazon
3,3.26,4.4,3,4,4,4,4,4,4,amazon
3.3,3.5,3,3,4,none,none,none,none,none,amazon
3.866666667,4,4.6,3,5,5,5,5,5,5,amazon
2.9,3.422222222,4.6,3,2,1,5,5,5,5,amazon
2.716666667,4.5,3,3,4,3,2,4,5,2,amazon
2.4,3,3,3,3,3,2,2,3,2,amazon
2.6,3.73030303,3,3,4,4,5,4,4,3,amazon
3.15,4.2,3,2.833333333,2,1,1,2,2,1,amazon
3.25,3.293333333,3,3.107142857,5,4,3,3,3,4,amazon
2.9,5,5,3,5,3,5,4,5,5,amazon
3,3.55,3.7,3,4,none,none,none,none,none,amazon
3,3.356666667,3,3.40625,3,2,2,3,4,2,amazon
2.541666667,3.898412698,3,3,2,1,1,4,5,1,amazon
3,3.6,3,3,3,4,1,2,2,3,amazon
3.3,3.492857143,3,3,5,1,5,5,4,2,amazon
3,4.82,3,5,5,5,5,5,5,5,amazon
2.666666667,3.638961039,5,5,5,5,5,5,5,5,amazon
3,3.571428571,3,3.468181818,5,5,5,5,5,5,amazon
3.062546584,3.503333333,1.8,3,2,3,2,2,4,2,amazon
3.114457792,3,3,2.890454545,1,1,1,1,1,1,amazon
3.25,3.293333333,3,3.107142857,5,4,3,3,3,4,amazon
3,3,3,3,4,4,5,4,5,4,amazon
4.1,3.714285714,3,3,3,1,3,5,5,2,amazon
2.95,3,3,3,3,3,1,2,5,4,amazon
2.566666667,3.136363636,3,3.166666667,3,1,2,3,3,2,amazon
2.972222222,3.433333333,3,3,5,5,5,5,5,5,amazon
2.916666667,4.458181818,5,3,4,none,none,none,none,none,amazon
2.2,3.4,3.7,3.4,4,4,5,4,4,4,amazon
2.810416667,3.936363636,3,3.066666667,3,3,4,4,3,2,amazon
3.064,3.486666667,3,2.8,3,4,4,2,4,2,amazon
3.38,4.043181818,3,3.143333333,3,3,2,2,5,4,amazon
3.636363636,4.133333333,3,4,3,3,1,5,4,2,amazon
3,3.805,3,3.138888889,3,3,3,2,3,3,amazon
3.156359649,3.2,3,3,1,2,3,3,5,1,amazon
2.666666667,3.55,4.2,2.458333333,1,4,1,2,5,1,amazon
3.181388889,3.525,4.4,3,4,2,3,5,5,1,amazon
3.766666667,4.375,3,3.543809524,4,4,4,5,4,4,amazon
2.739285714,4.325,4.6,3,4,3,4,3,4,4,amazon
3.147333333,4.333333333,4.2,3.75,4,3,3,3,4,3,amazon
3.058333333,3,3,2.8,3,none,none,3,none,none,amazon
3.2,4,3,3,3,3,2,2,2,2,amazon
3.2,2.766666667,3.7,3.424242424,3,3,3,3,4,3,amazon
3,4.6,3,4.4,4,3,4,3,3,2,amazon
3,2.620833333,4,3,5,4,5,4,3,4,amazon
2.4,3.602539683,4.6,3,4,4,4,5,4,3,amazon
4,4.288888889,3,3.9,4,4,5,4,5,5,amazon
3.125,3.266666667,3,2.3,4,3,4,3,3,2,amazon
2.95625,4.00625,3,3.425,4,3,5,2,4,2,amazon
3,4.136363636,2.2,3,3,1,1,3,5,2,amazon
3,4.4,4.4,4,3,3,3,5,3,2,amazon
2.608333333,4.6,4.6,4,3,3,1,2,5,1,amazon
3.166666667,5,3,3,3,2,3,2,5,2,amazon
2.5,5,3,3,3,1,5,2,4,4,amazon
3.433333333,2.843333333,3,3,4,3,3,4,3,3,amazon
3.190625,3.292857143,3,3,5,none,none,none,none,none,amazon
4,4.014285714,4.6,3,5,none,none,none,none,none,amazon
3.542857143,3.206666667,3,3.381777778,1,2,1,1,3,1,amazon
3.2275,4.6,3,3,5,4,4,5,4,4,amazon
3.168928571,4.333333333,3.258571429,4,4,1,2,1,4,1,amazon
3.235164835,3.8,3.7,2.946666667,1,1,1,1,2,1,amazon
2.730793388,3.8,3,3.573333333,1,none,none,none,none,none,amazon
3,3.773333333,4.5,3,4,2,4,5,4,5,amazon
2.7,3.557142857,4.6,3,4,4,5,4,4,4,amazon
2.38,3.439015152,3.2,3,3,3,3,3,3,2,amazon
1.8,3,4,3,3,5,5,1,3,2,amazon
1,3,1,3,1,1,4,5,2,2,amazon
3.52,3.138888889,4.6,3,5,3,4,4,3,3,amazon
2.809479167,3.743290043,3,3,1,1,1,4,3,1,amazon
2.9375,4,3.4,3,1,1,1,3,5,1,amazon
3.256705767,3.227922078,3,3.227272727,2,none,none,none,none,none,amazon
2.680519481,4.016666667,2.8,2.5,1,2,2,2,4,4,amazon
2.416666667,3.690909091,4.4,3,5,5,5,5,5,5,amazon
2.2,4.466666667,3,3,4,5,4,5,5,4,amazon
3,4,3,3,4,none,none,none,none,none,amazon
2.866666667,4.348181818,4,3.29047619,3,none,none,none,none,none,amazon
3,4.4,3,3,1,1,1,2,1,1,amazon
3.024561404,4.75,3,2.15,1,1,1,1,1,1,amazon
3.491666667,3.665,3,3.54,4,3,3,3,5,1,amazon
2.866666667,4.35,3.7,3,4,3,5,4,3,4,amazon
3.6,2.666666667,4.4,3,4,none,none,none,none,none,amazon
3.473333333,3.214285714,3,3,3,4,3,5,4,4,amazon
2.3,3.6,2.7,3.433333333,3,4,3,2,3,2,amazon
3.011069882,3,1,3,3,4,4,3,3,3,amazon
3,3.737714286,3.428571429,3,5,3,5,5,4,4,amazon
2.4,3.8,3,3,5,5,1,3,5,5,amazon
3,4.6,3,3,2,3,3,1,4,2,amazon
2.971717172,3.3125,2.416666667,3.955555556,1,1,2,2,3,1,amazon
3.011111111,3.6,3,3.294285714,1,2,1,4,4,1,amazon
4,2.9,3,3.4,2,1,1,1,2,2,amazon
3.2,3.6,3,2.8,4,none,none,none,none,none,amazon
2.903769841,4.4,3,3,1,1,1,5,3,1,amazon
4.4,3,3,3,5,none,none,none,none,none,amazon
2.8,2.754166667,3,3,5,3,4,5,5,5,amazon
2.915021645,3.6,3,3.3,2,1,1,1,1,1,amazon
3,3.5,3,3,5,4,4,5,2,3,amazon
3.4,4.2,3,3,5,5,5,4,4,none,amazon
3,3.504166667,3,3,4,3,5,5,5,4,amazon
1.933333333,3.155555556,3,3,3,3,3,3,3,3,amazon
3,3.25,5,3,5,5,5,3,5,3,amazon
2.8,4,3,3,5,4,4,4,4,4,amazon
2.907407407,4.6,3,3,5,5,3,4,4,4,amazon
3,3.858928571,3.8,3.533333333,5,5,5,5,5,5,amazon
2.642857143,1,3.2,3,1,1,1,1,1,1,amazon
2.425,4,3,3.017600904,1,1,1,1,1,1,amazon
3.217857143,3,3,3.714285714,2,3,4,1,2,1,amazon
2.872222222,3.166666667,3,3,1,1,1,4,3,1,amazon
2.9,3,3,3,4,none,none,none,none,none,amazon
3,4.05,1.6,3.666666667,3,4,2,4,2,1,amazon
2.9,3,3,3.65,1,1,1,2,1,1,amazon
4.2,3.627777778,3,3.833333333,4,5,5,5,5,4,amazon
3,3.32,4.2,3,5,5,5,5,5,5,amazon
3.4,4,3,3,5,5,5,5,5,5,amazon
2.414285714,4.14375,3,3,5,4,5,5,5,4,amazon
2.625,3.966666667,2.8,3,2,3,2,1,2,1,amazon
3,4.6,3.7,2.416666667,4,4,4,4,5,4,amazon
3,4.6,3.7,2.416666667,4,4,4,4,5,4,amazon
2.9,3.5625,3,3,4,3,5,4,4,none,amazon
5,3.3,3,3,3,2,5,4,3,4,amazon
3.3125,3.392380952,3,3.090909091,4,2,4,3,3,2,amazon
3,3.852380952,2.125,3,2,1,4,2,5,2,amazon
2.25,5,3,2.63,2,2,2,4,3,2,amazon
3.2,3.628787879,3,3.6,4,4,4,5,3,4,amazon
3.165,2.9,3,3,4,3,3,4,3,3,amazon
3,4,3,3.2,4,4,3,5,5,3,amazon
2.893849206,4.4,3,3,3,5,2,5,2,5,amazon
3.023611111,4.6,3,3.116666667,3,1,3,2,2,2,amazon
3.142929293,3.428571429,4,3,3,1,3,4,4,1,amazon
2.333333333,4,3,3.208333333,3,2,none,2,2,none,amazon
3.272727273,4.6,4,3,3,3,3,3,3,1,amazon
2.533333333,3.872380952,3.428571429,5,5,3,5,5,3,5,amazon
3,4.4,3,4,5,5,5,5,5,5,amazon
2.342857143,4.4,2.8,3.8,1,3,1,1,5,1,amazon
2.6,3.16,3,3,1,1,1,4,3,1,amazon
3,4.4,3,3.333333333,1,1,5,1,2,5,amazon
3.1,3.942857143,3,3.34,5,4,5,4,4,5,amazon
2.4,3.8,3.866666667,3.5,2,2,1,1,4,1,amazon
1.9,2.9,3,2.8,2,2,2,2,3,2,amazon
3.15,3,3,2.704166667,3,3,4,5,3,4,amazon
2.8,3,3,3,3,4,4,2,3,3,amazon
2.970242424,3.186296296,3,3.55,1,1,1,2,1,1,amazon
3,4.016190476,4.6,3.6,4,4,2,5,5,2,amazon
3,4.3,3,4.4,5,4,4,5,4,4,amazon
3.35,4.2,3,3.333333333,5,3,5,5,5,5,amazon
3.52,3.8,3,4.6,5,none,5,4,4,4,amazon
2.533333333,4.4,1,3,1,none,none,none,none,none,amazon
3.15,3,2.3,2.25625,2,3,2,2,1,1,amazon
3,3.7,4.2,3,4,none,none,none,none,none,amazon
2.7,4.6,3,3,4,3,2,4,5,4,amazon
2.766666667,3.577777778,3,3,4,1,5,4,5,2,amazon
3.604166667,3.593181818,3.058333333,3,4,none,none,none,none,none,amazon
3.233333333,3.143409091,3.333333333,3,3,4,3,1,2,3,amazon
2.45,3.857142857,3,3,5,none,none,none,none,none,amazon
2.905555556,3.375,3,3,5,3,5,4,4,4,amazon
3,4.3,3,4.4,5,4,4,5,4,4,amazon
2.983333333,2.518518519,3,3,4,5,2,4,5,3,amazon
3,4.4,3,3,4,4,4,4,4,4,amazon
3,4.05,4.4,3,4,3,4,4,5,3,amazon
4.82,4.2,4,3,4,3,4,5,5,3,amazon
2.508333333,3.933333333,4.4,4.8,4,4,4,4,5,5,amazon
3,3.762962963,3,2.904166667,4,none,none,none,none,none,amazon
1.875,5,3,3.866666667,3,2,3,4,4,3,amazon
3.4,3,3,3,1,1,1,1,1,1,amazon
3,3.76,5,3,5,5,5,5,5,5,amazon
2.875,4.6,4,3,5,3,5,5,3,5,amazon
2.95,4.6,3,4,5,3,3,2,3,3,amazon
3,4.5,3.95,3,5,3,5,5,5,5,amazon
2.6,3.272727273,3,3,2,2,1,1,1,1,amazon
3.422222222,3.8,3,3.2,1,1,1,1,1,1,amazon
3.3,4.4,3,3,4,5,3,2,3,1,amazon
5,3.7,3,3,3,none,none,none,none,none,amazon
3,4.133333333,3.333333333,3.208333333,3,3,2,4,4,2,amazon
3.91,3.26,3,3,4,4,5,5,4,5,amazon
3.633333333,3.214285714,4.6,3.4,5,4,5,5,5,5,amazon
3.171428571,4.346666667,4.6,3,5,4,5,5,4,5,amazon
3,3.9,3,3,5,none,none,none,none,none,amazon
2.5,3.75,3,3,5,none,none,none,none,none,amazon
3,3.866666667,3,3.011904762,5,4,4,4,5,4,amazon
3.011038961,3.763636364,4,2.5,5,3,5,5,4,4,amazon
3,4.266666667,4.4,3,5,5,5,5,5,5,amazon
3.1,5,4.3,3,5,5,5,5,5,5,amazon
2.84,3.443333333,3,3,5,5,5,5,4,4,amazon
2.9,4.4,3,4.6,4,3,3,2,1,2,amazon
3,3,3,3,4,2,5,5,5,5,amazon
2.866666667,4.45,2.8,2.75,4,none,none,none,none,none,amazon
3.1,4,2.966666667,3.5,4,3,1,1,3,3,amazon
3.1,4,2.966666667,3.5,4,3,1,1,3,3,amazon
2.5,3.52,3,3,4,none,none,none,none,none,amazon
2.4,2.7,3,3,4,none,none,none,none,none,amazon
3.175,3.116666667,3,3.133333333,4,4,5,5,4,4,amazon
2.431428571,4.076190476,3,3.143512767,2,1,1,4,3,2,amazon
2.45,3.76,3,3.233333333,3,3,4,4,1,2,amazon
2.6375,4.4,1.6,3.34,3,4,2,5,4,1,amazon
3.15,4.4625,4.2,4,5,3,5,5,5,5,amazon
3.18,4,3,3,4,1,4,3,3,3,amazon
3.36,2.875,4.6,3.6,4,2,5,5,5,5,amazon
3,4.4,4,3,5,5,4,4,5,4,amazon
3.32,4.55,3.32,3,1,1,1,4,5,1,amazon
3,4.014285714,4.6,3,4,none,none,none,none,none,amazon
3,4.46875,3,3.375,4,3,3,2,4,2,amazon
3.386666667,3.593333333,3,3,4,2,3,4,3,3,amazon
3.2,3.166666667,3.7,4,4,none,none,none,none,none,amazon
3.10625,4,3,3.8,3,3,2,4,4,3,amazon
2.889583333,4,3.53125,3.753246753,3,3,4,2,3,2,amazon
2.308333333,3.936363636,3,3,3,none,none,none,none,none,amazon
2.772222222,3,3,3,5,3,5,3,5,3,amazon
3.025,4.133333333,4,3.436363636,5,3,2,4,5,1,amazon
3.096666667,3.41,3,3.23,2,2,1,2,2,1,amazon
2.4125,3.404166667,3,3.535353535,2,none,none,none,none,none,amazon
3.4,3.566666667,3,3.2,5,none,none,none,none,none,amazon
4,3.8,4.6,3.4,4,4,3,3,4,3,amazon
3.4,3.533333333,4.4,3,3,none,none,none,none,none,amazon
2.375,3.041666667,3,3,3,none,none,none,none,none,amazon
3,4.4,4.2,4,5,2,3,3,5,4,amazon
3.1504329,3.833333333,3,3,5,5,5,5,5,5,amazon
3.368181818,3.4,3.4,3.118181818,4,2,4,5,4,4,amazon
3.45,3.344285714,3,3,5,2,4,5,5,4,amazon
3.1,3.404166667,3.95,3,4,2,4,2,2,4,amazon
4.625,3,3,3.636363636,3,5,5,3,3,4,amazon
2.7,3.7875,3,3.408333333,5,5,5,5,4,5,amazon
2.686507937,4.05,3,3.65,5,4,5,5,4,3,amazon
2.55,3.4,3,4.4,5,3,5,5,5,4,amazon
2.4,3.188280767,4.3,3.035,5,3,4,5,5,4,amazon
1.6,4.6,3,3,5,3,3,4,4,2,amazon
2.478571429,4.126666667,4.56,3,5,5,5,5,5,5,amazon
3.177597403,3,1,2.2,2,none,none,none,none,none,amazon
3.076666667,3.122222222,3,3,4,4,4,4,4,4,amazon
2.22,3.573333333,3,3.3,2,2,2,2,1,3,amazon
3.114285714,3.8,3.7,3,2,2,2,2,3,1,amazon
3.4,4.6,3,3,2,1,2,1,4,1,amazon
2.561111111,3.538888889,3,3,4,3,5,5,4,4,amazon
3,3.757575758,3,3,4,2,4,3,3,5,amazon
3.32,3.4,3.32,3,4,4,5,3,4,4,amazon
3,4.7,4.4,3,4,none,none,none,none,none,amazon
3.373137255,3.784509804,2.34375,3.141666667,4,4,5,5,5,5,amazon
2.444444444,3.782857143,3,2.857142857,4,3,4,4,4,3,amazon
2.9,3.554166667,4.4,3,4,3,5,5,3,5,amazon
2,3.333333333,3.25,3,4,5,5,2,3,5,amazon
3.139285714,3.925,3,3.566666667,2,2,4,5,4,4,amazon
1,3.6,3,2.416666667,2,1,1,1,2,1,amazon
3.155555556,3,3,3.6,5,5,5,5,5,5,amazon
3.2,3.4,3,3,5,4,4,5,5,5,amazon
4,3.933333333,3,5,5,5,5,5,5,5,amazon
3,3,3,3,5,none,none,none,4,none,amazon
4,3.76,3,2.967380952,2,1,4,4,3,3,amazon
3.2,4.4,4.6,3,2,1,5,1,2,2,amazon
3.15,4.56,3,4,2,2,2,2,2,2,amazon
3,4.5,3,3,1,1,5,1,5,1,amazon
2.75,4.5,3,4.2,4,3,4,4,4,4,amazon
3,4.58,4.4,3,4,none,none,none,none,none,amazon
3.266666667,3.533333333,3,3,4,3,3,3,3,2,amazon
2.416666667,3,3,3,4,3,4,3,3,3,amazon
3,4.111111111,3,2.875,5,5,3,5,5,3,amazon
3.15,5,3,3,5,3,5,5,5,5,amazon
2.95,3.8,3,3,5,5,5,5,4,none,amazon
2.453333333,3.273333333,2.525,3,4,3,2,5,3,4,amazon
3.45,3,3,3.8,2,1,1,2,1,1,amazon
3.3,4,3.8,3,5,4,4,5,5,5,amazon
2.741666667,3.881666667,4.6,3,5,5,5,5,3,5,amazon
3,3.785714286,3,4.3,4,3,4,3,4,3,amazon
2.84,3.639285714,3,3,4,1,3,4,4,3,amazon
4.4,4.6,3,3,4,none,none,none,none,none,amazon
3.1,4.3,3.4,2.86,2,1,2,2,5,1,amazon
3.4,4.033333333,3,3,3,2,2,3,3,3,amazon
3.6,4.15,2.8,3,3,2,4,2,2,2,amazon
3,3.422222222,3,4,5,3,5,5,5,5,amazon
2.8,3.9,4.6,2.9,5,3,4,4,5,4,amazon
3,1.6,5,3,5,3,5,4,2,4,amazon
3.035,3,3,3,5,none,none,none,none,none,amazon
2.566666667,4.03,3.933333333,3,5,3,5,5,5,4,amazon
2.9,4.8,3,3,1,1,4,2,5,1,amazon
3.138888889,3.129365079,3,3.45,4,none,none,none,none,none,amazon
4.6,3.333333333,2.9,3.208333333,2,2,3,2,5,1,amazon
3.013076923,3.633333333,1,3,1,1,1,1,1,1,amazon
3.32,3.32,3,3,5,4,5,5,5,5,amazon
2.625,3.941666667,3.866666667,3,4,4,4,4,4,4,amazon
3,4.4,3,3,4,none,none,none,none,none,amazon
3,4.6,4.6,3,4,3,4,4,3,3,amazon
2.766666667,3.875,3,4,4,3,4,3,5,3,amazon
1.4,3,3,3,3,1,2,5,3,2,amazon
3.31,3.76,2.416666667,3,3,2,1,3,3,2,amazon
3.37202381,3,1.219807943,3,3,1,4,3,2,3,amazon
2.816666667,3.75,3,3.168181818,3,none,2,none,none,none,amazon
2,3,3,3,3,2,2,3,3,3,amazon
3,3.866666667,3,3,4,4,5,5,5,4,amazon
2.4,3.454545455,3.7,3,5,5,4,5,4,4,amazon
2.533333333,3,3.272727273,3.951136364,5,3,5,5,4,3,amazon
2.5,3.9,3.86,3.05,4,2,2,2,4,2,amazon
3.035714286,3.6875,3,3.6,4,4,4,3,4,4,amazon
3.4,4.4,4.4,3,4,4,4,4,4,3,amazon
2.766666667,4.4,3,3,4,none,none,none,none,none,amazon
3.4,3,4.6,3,4,3,3,3,3,2,amazon
2.566666667,4.6,3,3,2,1,1,1,4,1,amazon
2.9,4,3,4,4,2,2,2,2,2,amazon
2,4.7,3,3,4,3,4,4,3,4,amazon
2.8,4,3,3,2,none,none,none,none,none,amazon
2.95,3.866666667,3,3,1,1,1,1,1,1,amazon
3.136363636,3.8,3,3,3,4,2,3,4,1,amazon
2.9,3.8,4.6,3,5,2,none,5,5,5,amazon
3,3.5,4.6,4.4,5,4,4,5,5,4,amazon
3,4.253333333,4.1,4.75,5,5,5,5,5,5,amazon
3.1,4.05,4.4,3,5,3,5,5,5,4,amazon
3.390740741,3.428571429,3,3.514444444,1,3,2,1,2,1,amazon
3,3.96,3,3,5,5,5,5,5,5,amazon
2.2,4.6,3,3,3,none,none,none,none,none,amazon
2.120833333,3.5,3,3,3,3,2,4,4,2,amazon
3.039285714,3.653787879,4,4,4,5,3,3,4,3,amazon
3,4.4,3,3,5,2,5,5,5,4,amazon
2.9,3.914285714,3,3,5,1,1,5,4,2,amazon
2.957407407,3.226666667,4.6,3.28,5,3,none,5,5,none,amazon
2.968333333,3.5,3,3,4,none,none,none,none,none,amazon
2.5,3.293333333,3,2.416666667,4,4,4,3,3,4,amazon
2.46,3,3.69047619,4.2,4,4,5,5,3,4,amazon
4,4.1875,3,4.4,4,3,4,4,4,none,amazon
2.362962963,3,2.2,3,3,4,none,3,2,none,amazon
3,2.74,3.2,3,3,none,none,none,none,none,amazon
3,4.2,4,3,3,none,none,none,none,none,amazon
2.733333333,3.106666667,3,3.05,4,2,4,4,4,3,amazon
2.95,4.375,4.2,3.4,4,3,4,3,5,4,amazon
2.616666667,3.653333333,4.4,4,4,4,4,4,3,3,amazon
2.7,4.2,4.6,3,5,5,5,5,5,4,amazon
3,4.1,4.4,2.8,4,3,5,5,5,4,amazon
2.875,3,3.32,3,4,none,none,none,none,none,amazon
3.341666667,3.866666667,3,3,4,3,4,4,5,3,amazon
3,3.975,3.333333333,3,4,3,5,4,4,3,amazon
3,4,2.975,3,4,none,none,none,none,none,amazon
3,4.125,3,3,3,3,3,2,4,3,amazon
3.242142857,3.281746032,3,3.18,3,3,3,4,4,3,amazon
3.433333333,4.6,3,3,3,2,4,3,3,3,amazon
3.393333333,4.068181818,3,3.5,3,1,4,4,2,2,amazon
4.2,4.133333333,3,3.5,2,3,none,1,2,none,amazon
3.9,4.233333333,3,3.6,5,5,5,5,5,1,amazon
3.2,4.6,4.6,3,5,3,5,5,3,5,amazon
2.946464646,4.4,3,4,4,4,5,3,5,5,amazon
3.14047619,3.626035354,4.6,3,4,4,4,4,3,4,amazon
3.52962963,3.445,4.6,3.094545455,3,2,4,3,5,4,amazon
2.2,4.4,3,4,3,1,4,2,4,1,amazon
